prompt, image
selfie, https://art-global.yimeta.ai/anime/5889850fcd931d13ed03ea442b9d982b.webp
"on the beach, bikini", https://art-global.yimeta.ai/anime/1f3ee18d00cca59052da1b641c9b3192.webp
"bathing, bathroom", https://art-global.yimeta.ai/anime/d19390a37490f7c79a906fb56f4e8090.webp
"full-body shot", https://art-global.yimeta.ai/anime/86a96cb27ee882aea7ed32bbcfeeca22.webp
"on the bed, bed", https://art-global.yimeta.ai/anime/d85749448ccfb24f296df67ad64031e1.webp
"sing, stage singing, performance", https://art-global.yimeta.ai/anime/b92decf6557219deeee1787c217fe808.webp
"bar, drink", https://art-global.yimeta.ai/anime/4b719d4f6d4d5a6e7d3a193eb6c60179.webp
"dance, dancing", https://art-global.yimeta.ai/anime/64eb121ff0c4ef4368c216f8f34f0e0a.webp
"eat, eating", https://art-global.yimeta.ai/anime/4b58a4ac44019a35e7e83d0a2a10bf22.webp
